date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:41	136780/136780	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:10%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentfb82.html?Section=m&Code=25	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentfb82fb82.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:42	137482/137482	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:16%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9c86.html?Section=m&Code=58	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content9c869c86.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:43	136748/136748	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:22%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content2306.html?Section=m&Code=415	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content23062306.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:43	137621/137621	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:28%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contente57f.html?Section=m&Code=9	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contente57fe57f.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:44	141373/141373	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:34%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content8e9c.html?Section=m&Code=10	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content8e9c8e9c.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:45	136972/136972	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:40%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content2106.html?Section=m&Code=32	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content21062106.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:45	141222/141222	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:44%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content40f4.html?Section=m&Code=38	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content40f440f4.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:46	139019/139019	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:50%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentd98c.html?Section=m&Code=33	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentd98cd98c.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:47	136609/136609	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:02:56%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentcfba.html?Section=m&Code=46	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentcfbacfba.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:47	139507/139507	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:02%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content6cf4.html?Section=m&Code=34	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content6cf46cf4.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
